won_month,declared_monthly_revenue
2017-12,0.0
2018-01,0.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,0.0
2018-06,0.0
2018-07,0.0
2018-08,961006.0
2018-09,9300000.0
2018-10,50874000.0
2018-11,649000.0
